Municipalities,Year,allAges,age15_19,age20_24,age25_29,age30_34,age35_39,age40_44,age45_49,av_Income
Herlev,2018,0.276494470110598,0.0244995100097998,0.0594988100237995,0.0524989500209996,0.0559988800223996,0.0734985300293994,0.00349993000139997,0,236643
Herning,1995,0.23046899200793,0.0260206926460566,0.043367821076761,0.0693885137228177,0.0470850628833406,0.0309770150548293,0.0136298866241249,0,114172
Herning,1996,0.201011222098902,0.030829942039709,0.0394623258108275,0.0456283142187693,0.0406955234924158,0.030829942039709,0.0110987791342952,0.00123319768158836,117492
Herning,1997,0.219915987150976,0.0210032122559921,0.0494193229552755,0.0407709414381023,0.0667160859896219,0.0308870768470472,0.0098838645910551,0.00123548307388189,122719
Herning,1998,0.197173031658595,0.0258789604051906,0.0357376119881203,0.0406669377795852,0.0480609264667825,0.0369699434359865,0.00985865158292974,0,127903
Herning,1999,0.187249769017555,0.00985525100092393,0.0468124422543887,0.0357252848783492,0.0517400677548506,0.0283338466276563,0.0147828765013859,0,130671
Herning,2000,0.173161236444914,0.0257899713854127,0.0343866285138836,0.0343866285138836,0.0417551917668587,0.0245618775099169,0.0110528448794626,0.00122809387549584,135809
Herning,2001,0.198279132957174,0.0342704674246968,0.0367183579550322,0.0269267958336903,0.0440620295460387,0.0452859748112064,0.0110155073865097,0,140906
Herning,2002,0.204449204108455,0.0462444628340554,0.0352918268996739,0.0413766246409969,0.0279900696100862,0.0377257459962031,0.0133865550309108,0.00121695954826462,143597
Herning,2003,0.193986420950533,0.0157613967022308,0.0460717749757517,0.0412221144519884,0.0412221144519884,0.0375848690591659,0.0121241513094083,0,147142
Herning,2004,0.163122281295312,0.0302078298695022,0.0241662638956017,0.0289995166747221,0.0338327694538424,0.0326244562590624,0.0120831319478009,0.00120831319478009,156753
Herning,2005,0.188099113763791,0.0301440887441973,0.0337613793935009,0.0277325616446615,0.0494363055404835,0.0301440887441973,0.0156749261469826,0.00120576354976789,163648
Herning,2006,0.16080643225729,0.0324012960518421,0.0288011520460818,0.0288011520460818,0.0348013920556822,0.0228009120364815,0.00960038401536061,0.00120004800192008,168682
Herning,2007,0.179430129907414,0.0287088207851862,0.0346898251154334,0.0263164190530874,0.0454556329098782,0.0346898251154334,0.00837340606234599,0.00119620086604943,173485
Herning,2008,0.182880486414592,0.0344385331559947,0.0427512825384762,0.0296883906517196,0.0391886756602698,0.0249382481474444,0.010687820634619,0.00118753562606878,170883
Herning,2009,0.201837661499466,0.0398981423894293,0.0481124658225471,0.0293368694039922,0.0387246676132697,0.0340307685086309,0.0117347477615969,0,174893
